2025-02-08 23:59:29,174 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\src\test\resources
2025-02-09 00:01:41,213 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:01:41,215 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 00:01:41,216 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:01:41,216 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\src\test\resources
2025-02-09 00:02:49,233 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:02:49,234 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 00:02:49,235 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:02:49,235 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\src\test\resources
2025-02-09 00:07:34,002 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:07:34,003 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 00:07:34,004 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:07:34,005 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\src\test\resources
2025-02-09 00:08:45,428 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:08:45,428 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 00:08:45,430 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:08:45,430 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\src\test\resources
2025-02-09 00:12:31,116 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:12:31,126 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 00:12:31,129 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:12:31,130 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\src\test\resources
2025-02-09 00:15:45,102 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:15:45,108 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 00:15:45,109 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:15:45,110 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\PROGRAMAS\WS\S04BDSABADOExam\LPII_CL2_JUAREZMONTEROLUIS\src\test\resources
2025-02-09 00:16:31,801 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 00:16:31,802 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
